gene.51	tx.2	chr1:16245735-16247595
gene.379	tx.240	chr6:21010120-21013113
gene.379	tx.241	chr6:21008097-21013056
gene.358	tx.253	chr6:32716076-32725092
gene.358	tx.254	chr6:32716063-32725090
gene.384	tx.255	chr6:34355448-34357262
gene.363	tx.262	chr6:90930513-90931188
gene.367	tx.265	chr6:111594139-111599693
gene.392	tx.268	chr6:123969269-124021626
gene.434	tx.283	chr7:30298592-30300450
gene.443	tx.291	chr7:77590337-77591649
gene.428	tx.300	chr7:140348628-140349858
gene.453	tx.304	chr7:150921784-150924213
gene.456	tx.308	chr7:153916931-153932929
gene.468	tx.315	chr8:42454297-42467949
gene.501	tx.317	chr8:54242425-54257253
gene.470	tx.319	chr8:102044592-102045602
gene.480	tx.326	chr8:140822598-140827244
gene.510	tx.331	chr8:145242092-145243382
gene.514	tx.336	chr9:34399400-34411946
gene.518	tx.341	chr9:78039622-78054932
gene.520	tx.344	chr9:80416469-80423125
gene.550	tx.345	chr9:81130550-81149406
gene.553	tx.347	chr9:84674326-84678574
gene.553	tx.348	chr9:84674326-84678619
gene.562	tx.360	chr9:136194008-136197159
gene.536	tx.365	chr9:148347192-148351240
gene.536	tx.366	chr9:148348403-148351240
gene.603	tx.374	chr10:3271431-3278712
gene.570	tx.375	chr10:3278199-3283710
gene.570	tx.376	chr10:3278380-3294924
gene.578	tx.379	chr10:44529886-44530712
gene.585	tx.388	chr10:78505098-78505743
gene.590	tx.394	chr10:92435427-92441761
gene.611	tx.395	chr10:94625049-94637789
gene.618	tx.400	chr10:133672119-133686919
gene.643	tx.405	chr11:6443663-6448780
gene.647	tx.415	chr11:66284625-66285418
gene.635	tx.417	chr11:72722034-72738805
gene.651	tx.424	chr11:125265652-125268543
gene.679	tx.425	chr12:58097-58757
gene.683	tx.428	chr12:51969337-51970360
gene.668	tx.439	chr12:110427575-110433747
gene.676	tx.446	chr12:133013744-133041046
gene.676	tx.447	chr12:133013753-133035037
gene.718	tx.457	chr13:48425802-48469158
gene.718	tx.458	chr13:48456818-48469157
gene.710	tx.464	chr13:94505657-94515582
gene.752	tx.472	chr14:18265046-18270516
gene.755	tx.477	chr14:32395914-32397985
gene.759	tx.482	chr14:86904499-86919989
gene.746	tx.484	chr14:98898949-98899910
gene.746	tx.485	chr14:98898967-98899911
gene.748	tx.486	chr14:99548453-99554926
gene.767	tx.490	chr15:37841702-37844407
gene.771	tx.494	chr15:42975296-42996825
gene.778	tx.502	chr15:87252266-87253187
gene.786	tx.505	chr16:1963459-1964607
gene.802	tx.506	chr16:2788183-2789466
gene.788	tx.510	chr16:14524554-14526611
gene.806	tx.516	chr16:62456161-62458251
gene.792	tx.518	chr16:67824318-67825229
gene.818	tx.524	chr16:92829633-92832182
gene.829	tx.532	chr17:6138050-6141095
gene.832	tx.534	chr17:17699000-17701276
gene.848	tx.535	chr17:31608319-31632258
gene.855	tx.540	chr17:40984434-40985750
gene.842	tx.555	chr17:69085396-69089945
gene.879	tx.562	chr18:10610363-10617136
gene.865	tx.566	chr18:26741726-26749456
gene.870	tx.568	chr18:37759890-37760308
gene.923	tx.573	chr19:2469533-2471009
gene.892	tx.574	chr19:4568029-4569755
gene.892	tx.575	chr19:4568032-4569755
gene.895	tx.581	chr19:12845394-12847086
gene.900	tx.592	chr19:36042689-36046532
gene.941	tx.607	chr19:54680415-54683045
gene.911	tx.608	chr19:55095524-55109767
gene.915	tx.609	chr19:58325760-58326123
gene.959	tx.618	chr20:2673938-2682913
gene.948	tx.626	chr20:46678603-46679406
gene.950	tx.627	chr20:48142813-48180597
gene.955	tx.631	chr20:63753479-63756724
gene.967	tx.633	chr21:12726210-12736277
gene.969	tx.637	chr21:22480907-22511040
gene.989	tx.652	chr22:24441306-24449445
gene.989	tx.653	chr22:24441306-24449438
gene.989	tx.654	chr22:24441306-24449440
gene.989	tx.655	chr22:24441306-24449457
gene.994	tx.656	chr22:27094628-27109928
gene.981	tx.657	chr22:28134962-28138620
gene.997	tx.659	chr22:29952946-29954661
gene.999	tx.661	chr22:33531107-33538458
gene.987	tx.662	chr22:50134537-50135382
gene.1013	tx.668	chrX:48246162-48247878
gene.1015	tx.669	chrX:70162333-70186304
gene.1029	tx.670	chrX:70162333-70186304
