seqname	strand	gene_id	transcript_id	start	end	exons	length_DNA_level	length_transcript_level	1_bp_thresh	5_bp_thresh	10_bp_thresh	20_bp_thresh	35_bp_thresh	50_bp_thresh	100_bp_thresh	200_bp_thresh
1	-	ENSG00000131591	BambuTx12	1081823	1116098	7	34275	467	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000078808	BambuTx13	1216908	1232001	3	15093	605	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	-	ENSG00000078808	BambuTx11309	1216913	1232001	3	15088	590	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	BambuGene5	BambuTx11310	1268995	1271996	2	3001	778	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	ENSG00000169972	BambuTx14	1308559	1311677	7	3118	1230	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	ENSG00000169972	BambuTx11311	1308578	1311677	8	3099	1337	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000169972	BambuTx11312	1308641	1311677	6	3036	1478	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000169962	BambuTx18504	1332697	1335311	3	2614	2117	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000169962	BambuTx18505	1335278	1336011	2	733	291	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000221978	BambuTx15	1386502	1399328	11	12826	4241	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	BambuGene7	BambuTx27092	1386502	1391754	2	5252	895	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000272455	BambuTx11313	1408150	1410682	2	2532	1472	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000272455	BambuTx27093	1409226	1410682	2	1456	1324	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000225905	BambuTx16	1421438	1423287	2	1849	1154	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	ENSG00000205116	BambuTx17	1428323	1430255	2	1932	515	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1337	BambuTx18506	1470426	1510592	2	40166	1127	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000284740	BambuTx18	1505128	1509466	2	4338	324	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	ENSG00000197530	BambuTx11314	1615485	1617323	3	1838	499	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	BambuGene9	BambuTx11315	1650645	1652561	2	1916	1858	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000272004	BambuTx27094	1659290	1661473	2	2183	1885	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000272004	BambuTx19	1661491	1676843	2	15352	2971	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000269737	BambuTx27095	1661748	1674656	2	12908	2484	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000272004	BambuTx11316	1662465	1664439	2	1974	1340	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1339	BambuTx20	1686676	1689141	2	2465	1966	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000008128	BambuTx21	1702383	1724349	19	21966	2700	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000008128	BambuTx11317	1719072	1724326	4	5254	998	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000227775	BambuTx27096	1724583	1728506	2	3923	448	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000215790	BambuTx22	1727385	1745785	6	18400	3231	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000268575	BambuTx27097	1727385	1737559	2	10174	2865	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000268575	BambuTx27098	1727385	1745793	6	18408	3855	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000268575	BambuTx27099	1727391	1745798	6	18407	3913	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000268575	BambuTx18507	1735604	1745782	6	10178	3410	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000268575	BambuTx18508	1735828	1740083	2	4255	666	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000268575	BambuTx27100	1736647	1738445	2	1798	1286	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000268575	BambuTx23	1736973	1739622	4	2649	1484	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED
1	-	ENSG00000008130	BambuTx24	1751235	1780126	12	28891	3260	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	-	ENSG00000008130	BambuTx11318	1751235	1780143	11	28908	3120	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	-	BambuGene1341	BambuTx11319	1849224	1852357	2	3133	1098	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000231050	BambuTx27101	1891207	1892716	2	1509	861	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED
1	+	ENSG00000231050	BambuTx18509	1891528	1892726	2	1198	973	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED
1	+	ENSG00000231050	BambuTx18510	1891660	1892726	2	1066	941	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene11	BambuTx25	1909317	1910421	2	1104	387	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene11	BambuTx27102	1909319	1910491	2	1172	400	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000178821	BambuTx18511	1917591	1919253	4	1662	863	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000142609	BambuTx26	1987962	2003837	5	15875	619	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	-	ENSG00000142609	BambuTx27	1988608	1989324	3	716	188	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000233542	BambuTx28	2013198	2015590	2	2392	2211	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000233542	BambuTx27103	2013198	2016777	2	3579	953	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000233542	BambuTx29	2013216	2014743	2	1527	1135	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000272420	BambuTx11320	2363044	2374530	3	11486	889	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000272420	BambuTx18512	2363044	2385074	4	22030	1017	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000272420	BambuTx27104	2363044	2367250	2	4206	1204	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000272420	BambuTx30	2363046	2385126	4	22080	1062	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000116151	BambuTx27105	2363046	2388301	8	25255	896	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	-	ENSG00000272420	BambuTx31	2363061	2372594	2	9533	806	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene13	BambuTx27106	2385090	2388510	3	3420	1093	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene13	BambuTx27107	2385334	2388508	3	3174	839	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene13	BambuTx32	2385366	2388508	2	3142	511	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000157873	BambuTx27108	2556398	2563830	7	7432	1842	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000157873	BambuTx11321	2556415	2563829	8	7414	1829	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000228037	BambuTx18513	2577043	2584429	4	7386	1372	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000237058	BambuTx11322	2628774	2636617	3	7843	563	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000237058	BambuTx18514	2629046	2636620	3	7574	530	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000237058	BambuTx27109	2629071	2636620	3	7549	472	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene17	BambuTx18515	2650630	2651307	2	677	434	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1343	BambuTx11323	2652544	2654821	3	2277	912	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000177133	BambuTx27110	3059613	3063363	6	3750	923	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1346	BambuTx11325	3161276	3167146	3	5870	640	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	-	BambuGene1346	BambuTx11324	3161277	3161902	2	625	323	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1346	BambuTx11326	3161277	3166106	3	4829	462	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED
1	-	BambuGene1346	BambuTx33	3161281	3167127	2	5846	918	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1346	BambuTx18516	3161332	3161851	2	519	247	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1346	BambuTx11327	3164192	3167156	2	2964	854	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1346	BambuTx27111	3164193	3167043	2	2850	785	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1350	BambuTx34	3210736	3212145	2	1409	780	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene19	BambuTx27112	3212281	3213299	2	1018	332	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED
1	-	ENSG00000287828	BambuTx11328	3311564	3313003	2	1439	1182	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000287828	BambuTx35	3312741	3323526	3	10785	1276	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000287828	BambuTx11329	3312741	3313757	2	1016	879	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED
1	-	ENSG00000287828	BambuTx11330	3312741	3313784	3	1043	806	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000287828	BambuTx11331	3312741	3313895	2	1154	1055	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000287828	BambuTx18517	3312741	3313516	2	775	637	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000287828	BambuTx18518	3312741	3323618	3	10877	1028	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000287828	BambuTx27113	3312747	3323324	4	10577	1010	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000287828	BambuTx27114	3312747	3323547	3	10800	794	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1352	BambuTx18519	3430217	3432480	3	2263	1120	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1355	BambuTx27115	3439154	3441738	4	2584	737	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene21	BambuTx11332	3532568	3534338	2	1770	494	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene23	BambuTx11333	3598367	3602085	2	3718	461	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000238260	BambuTx18520	3622861	3624797	2	1936	860	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene25	BambuTx36	3661188	3667170	2	5982	4324	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000162592	BambuTx11334	3751082	3757214	5	6132	2285	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000235169	BambuTx37	3773066	3775956	2	2890	276	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene27	BambuTx27116	3812086	3827797	2	15711	794	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000233304	BambuTx18521	3900406	3949866	2	49460	1064	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000236423	BambuTx11335	3900409	3916582	3	16173	2480	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000236423	BambuTx27117	3916487	3917547	2	1060	814	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000233304	BambuTx18522	3940592	3949866	2	9274	945	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000233304	BambuTx27118	3947859	3950076	2	2217	1352	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene29	BambuTx11336	4017619	4093059	2	75440	586	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED
1	+	BambuGene31	BambuTx11337	4441095	4444125	3	3030	559	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1359	BambuTx11338	4627321	4634464	4	7143	903	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1363	BambuTx11339	4752205	4758737	2	6532	5536	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1365	BambuTx38	4783350	4783791	2	441	364	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1367	BambuTx39	5047744	5116090	2	68346	466	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED
1	-	ENSG00000236948	BambuTx18523	5561711	5752402	4	190691	961	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000289893	BambuTx18524	5766970	5771468	2	4498	1469	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	BambuGene34	BambuTx40	6178472	6179167	2	695	553	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000226944	BambuTx41	6204835	6209355	4	4520	632	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	-	ENSG00000226944	BambuTx42	6204844	6209363	3	4519	855	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED
1	+	ENSG00000187017	BambuTx18525	6460326	6460929	2	603	283	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000173662	BambuTx18526	6554631	6579755	5	25124	2638	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000204859	BambuTx43	6579997	6589280	11	9283	2246	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	ENSG00000204859	BambuTx44	6579997	6589280	11	9283	2267	NOVEL	NOVEL	NOVEL	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	BambuGene36	BambuTx11340	6604932	6606681	2	1749	1450	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1369	BambuTx27119	6692935	6694364	2	1429	976	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1371	BambuTx18527	6820138	6823258	2	3120	351	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene38	BambuTx18528	6855828	6858378	2	2550	1045	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000237402	BambuTx45	7249489	7370267	2	120778	323	NOVEL	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED	ANNOTATED
1	+	ENSG00000237402	BambuTx18529	7249489	7370270	3	120781	418	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene40	BambuTx46	7506298	7512375	2	6077	664	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000270035	BambuTx18530	7698308	7703943	5	5635	3805	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000269978	BambuTx18531	7700018	7703993	5	3975	2148	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	ENSG00000269978	BambuTx11341	7700715	7703605	3	2890	1639	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1373	BambuTx27120	7766805	7769687	2	2882	1240	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1375	BambuTx11342	7777152	7778172	2	1020	234	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1377	BambuTx47	7829850	7830125	2	275	219	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene42	BambuTx48	7840564	7842216	2	1652	1516	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	BambuGene44	BambuTx27121	7906661	7909567	3	2906	1740	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000227634	BambuTx27122	8165828	8209010	3	43182	543	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000227634	BambuTx27123	8202347	8215216	3	12869	872	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1379	BambuTx18532	8226664	8230409	2	3745	2567	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	-	BambuGene1381	BambuTx27124	8382484	8387097	2	4613	1659	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
1	+	ENSG00000232912	BambuTx18533	8423414	8431538	4	8124	746	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL	NOVEL
