TXNAME	GENEID	tissue_site_detail	total_full_counts
BambuTx1007	BambuGene144286	Brain - Putamen (basal ganglia)	0
BambuTx1007	BambuGene144286	Cells - Cultured fibroblasts	0
BambuTx1007	BambuGene144286	Heart - Atrial Appendage	0
BambuTx1007	BambuGene144286	Heart - Left Ventricle	0
BambuTx1007	BambuGene144286	Liver	0
BambuTx1007	BambuGene144286	Lung	0
BambuTx1007	BambuGene144286	Muscle - Skeletal	0
BambuTx1008	ENSG00000240356	Brain - Cerebellar Hemisphere	6.518475916898208
BambuTx1008	ENSG00000240356	Brain - Frontal Cortex (BA9)	3.66985645107451
BambuTx1008	ENSG00000240356	Brain - Putamen (basal ganglia)	2.779494746297805
BambuTx1008	ENSG00000240356	Cells - Cultured fibroblasts	36.74985771065978
BambuTx1008	ENSG00000240356	Heart - Atrial Appendage	20.678750887120444
BambuTx1008	ENSG00000240356	Heart - Left Ventricle	8.908276174904517
BambuTx1008	ENSG00000240356	Liver	1.930078837721422
BambuTx1008	ENSG00000240356	Lung	12.68349098824709
BambuTx1008	ENSG00000240356	Muscle - Skeletal	26.56038253647049
BambuTx1009	ENSG00000240356	Brain - Cerebellar Hemisphere	60
BambuTx1009	ENSG00000240356	Brain - Frontal Cortex (BA9)	61
BambuTx1009	ENSG00000240356	Brain - Putamen (basal ganglia)	19
BambuTx1009	ENSG00000240356	Cells - Cultured fibroblasts	514
BambuTx1009	ENSG00000240356	Heart - Atrial Appendage	92
BambuTx1009	ENSG00000240356	Heart - Left Ventricle	74
BambuTx1009	ENSG00000240356	Liver	30
BambuTx1009	ENSG00000240356	Lung	117
BambuTx1009	ENSG00000240356	Muscle - Skeletal	41
BambuTx101	ENSG00000277147	Brain - Cerebellar Hemisphere	49
BambuTx101	ENSG00000277147	Brain - Frontal Cortex (BA9)	31
BambuTx101	ENSG00000277147	Brain - Putamen (basal ganglia)	19
BambuTx101	ENSG00000277147	Cells - Cultured fibroblasts	9
BambuTx101	ENSG00000277147	Heart - Atrial Appendage	18
BambuTx101	ENSG00000277147	Heart - Left Ventricle	12
BambuTx101	ENSG00000277147	Liver	25
BambuTx101	ENSG00000277147	Lung	5
BambuTx101	ENSG00000277147	Muscle - Skeletal	14
BambuTx1010	ENSG00000240356	Brain - Cerebellar Hemisphere	12
BambuTx1010	ENSG00000240356	Brain - Frontal Cortex (BA9)	13
BambuTx1010	ENSG00000240356	Brain - Putamen (basal ganglia)	6
BambuTx1010	ENSG00000240356	Cells - Cultured fibroblasts	48
BambuTx1010	ENSG00000240356	Heart - Atrial Appendage	10
BambuTx1010	ENSG00000240356	Heart - Left Ventricle	3
BambuTx1010	ENSG00000240356	Liver	5
BambuTx1010	ENSG00000240356	Lung	21
BambuTx1010	ENSG00000240356	Muscle - Skeletal	6
BambuTx1011	ENSG00000228857	Brain - Cerebellar Hemisphere	8
BambuTx1011	ENSG00000228857	Brain - Frontal Cortex (BA9)	8
BambuTx1011	ENSG00000228857	Brain - Putamen (basal ganglia)	14
BambuTx1011	ENSG00000228857	Cells - Cultured fibroblasts	39
BambuTx1011	ENSG00000228857	Heart - Atrial Appendage	4
BambuTx1011	ENSG00000228857	Heart - Left Ventricle	1
BambuTx1011	ENSG00000228857	Liver	0
BambuTx1011	ENSG00000228857	Lung	6
BambuTx1011	ENSG00000228857	Muscle - Skeletal	2
BambuTx1012	BambuGene144333	Brain - Cerebellar Hemisphere	0
BambuTx1012	BambuGene144333	Brain - Frontal Cortex (BA9)	0
BambuTx1012	BambuGene144333	Brain - Putamen (basal ganglia)	0
BambuTx1012	BambuGene144333	Cells - Cultured fibroblasts	0
BambuTx1012	BambuGene144333	Heart - Atrial Appendage	0
BambuTx1012	BambuGene144333	Heart - Left Ventricle	0
BambuTx1012	BambuGene144333	Liver	0
BambuTx1012	BambuGene144333	Lung	0
BambuTx1012	BambuGene144333	Muscle - Skeletal	0
BambuTx1013	BambuGene155001	Brain - Cerebellar Hemisphere	18.281425514608983
BambuTx1013	BambuGene155001	Brain - Frontal Cortex (BA9)	13.01172068705838
BambuTx1013	BambuGene155001	Brain - Putamen (basal ganglia)	2
BambuTx1013	BambuGene155001	Cells - Cultured fibroblasts	1
BambuTx1013	BambuGene155001	Heart - Atrial Appendage	1
BambuTx1013	BambuGene155001	Heart - Left Ventricle	1
BambuTx1013	BambuGene155001	Liver	1
BambuTx1013	BambuGene155001	Lung	2
BambuTx1013	BambuGene155001	Muscle - Skeletal	2
BambuTx1014	BambuGene155001	Brain - Cerebellar Hemisphere	16
BambuTx1014	BambuGene155001	Brain - Frontal Cortex (BA9)	41
BambuTx1014	BambuGene155001	Brain - Putamen (basal ganglia)	1
BambuTx1014	BambuGene155001	Cells - Cultured fibroblasts	0
BambuTx1014	BambuGene155001	Heart - Atrial Appendage	3
BambuTx1014	BambuGene155001	Heart - Left Ventricle	0
BambuTx1014	BambuGene155001	Liver	0
BambuTx1014	BambuGene155001	Lung	0
BambuTx1014	BambuGene155001	Muscle - Skeletal	0
BambuTx1015	ENSG00000186132	Brain - Cerebellar Hemisphere	70
BambuTx1015	ENSG00000186132	Brain - Frontal Cortex (BA9)	22
BambuTx1015	ENSG00000186132	Brain - Putamen (basal ganglia)	12
BambuTx1015	ENSG00000186132	Cells - Cultured fibroblasts	94
BambuTx1015	ENSG00000186132	Heart - Atrial Appendage	56
BambuTx1015	ENSG00000186132	Heart - Left Ventricle	15
BambuTx1015	ENSG00000186132	Liver	17
BambuTx1015	ENSG00000186132	Lung	53
BambuTx1015	ENSG00000186132	Muscle - Skeletal	69
BambuTx1016	BambuGene155012	Brain - Cerebellar Hemisphere	0
BambuTx1016	BambuGene155012	Brain - Frontal Cortex (BA9)	0
BambuTx1016	BambuGene155012	Brain - Putamen (basal ganglia)	0
BambuTx1016	BambuGene155012	Cells - Cultured fibroblasts	0
BambuTx1016	BambuGene155012	Heart - Atrial Appendage	0
BambuTx1016	BambuGene155012	Heart - Left Ventricle	0
BambuTx1016	BambuGene155012	Liver	0
BambuTx1016	BambuGene155012	Lung	0
BambuTx1016	BambuGene155012	Muscle - Skeletal	0
BambuTx1017	ENSG00000144120	Brain - Cerebellar Hemisphere	8
BambuTx1017	ENSG00000144120	Brain - Frontal Cortex (BA9)	6
BambuTx1017	ENSG00000144120	Brain - Putamen (basal ganglia)	4
BambuTx1017	ENSG00000144120	Cells - Cultured fibroblasts	12
BambuTx1017	ENSG00000144120	Heart - Atrial Appendage	9
BambuTx1017	ENSG00000144120	Heart - Left Ventricle	3
BambuTx1017	ENSG00000144120	Liver	12
BambuTx1017	ENSG00000144120	Lung	12
BambuTx1017	ENSG00000144120	Muscle - Skeletal	3
BambuTx1018	ENSG00000144120	Brain - Cerebellar Hemisphere	15
BambuTx1018	ENSG00000144120	Brain - Frontal Cortex (BA9)	8
BambuTx1018	ENSG00000144120	Brain - Putamen (basal ganglia)	7
BambuTx1018	ENSG00000144120	Cells - Cultured fibroblasts	16
BambuTx1018	ENSG00000144120	Heart - Atrial Appendage	8
BambuTx1018	ENSG00000144120	Heart - Left Ventricle	1
BambuTx1018	ENSG00000144120	Liver	16
BambuTx1018	ENSG00000144120	Lung	20
BambuTx1018	ENSG00000144120	Muscle - Skeletal	2
BambuTx1019	BambuGene155036	Brain - Cerebellar Hemisphere	27
BambuTx1019	BambuGene155036	Brain - Frontal Cortex (BA9)	12
BambuTx1019	BambuGene155036	Brain - Putamen (basal ganglia)	9
BambuTx1019	BambuGene155036	Cells - Cultured fibroblasts	34
BambuTx1019	BambuGene155036	Heart - Atrial Appendage	25
BambuTx1019	BambuGene155036	Heart - Left Ventricle	23
BambuTx1019	BambuGene155036	Liver	3
BambuTx1019	BambuGene155036	Lung	13
BambuTx1019	BambuGene155036	Muscle - Skeletal	17
BambuTx102	ENSG00000118292	Brain - Cerebellar Hemisphere	18
BambuTx102	ENSG00000118292	Brain - Frontal Cortex (BA9)	5
BambuTx102	ENSG00000118292	Brain - Putamen (basal ganglia)	8
BambuTx102	ENSG00000118292	Cells - Cultured fibroblasts	11
BambuTx102	ENSG00000118292	Heart - Atrial Appendage	11
BambuTx102	ENSG00000118292	Heart - Left Ventricle	2
BambuTx102	ENSG00000118292	Liver	0
BambuTx102	ENSG00000118292	Lung	6
BambuTx102	ENSG00000118292	Muscle - Skeletal	6
BambuTx1020	ENSG00000236859	Brain - Cerebellar Hemisphere	42
BambuTx1020	ENSG00000236859	Brain - Frontal Cortex (BA9)	16
BambuTx1020	ENSG00000236859	Brain - Putamen (basal ganglia)	3
BambuTx1020	ENSG00000236859	Cells - Cultured fibroblasts	40
BambuTx1020	ENSG00000236859	Heart - Atrial Appendage	11
BambuTx1020	ENSG00000236859	Heart - Left Ventricle	5
BambuTx1020	ENSG00000236859	Liver	4
BambuTx1020	ENSG00000236859	Lung	3
BambuTx1020	ENSG00000236859	Muscle - Skeletal	15
BambuTx1021	BambuGene144708	Brain - Cerebellar Hemisphere	0
BambuTx1021	BambuGene144708	Brain - Frontal Cortex (BA9)	0
BambuTx1021	BambuGene144708	Brain - Putamen (basal ganglia)	0
BambuTx1021	BambuGene144708	Cells - Cultured fibroblasts	0
BambuTx1021	BambuGene144708	Heart - Atrial Appendage	0
BambuTx1021	BambuGene144708	Heart - Left Ventricle	0
BambuTx1021	BambuGene144708	Liver	0
BambuTx1021	BambuGene144708	Lung	0
BambuTx1021	BambuGene144708	Muscle - Skeletal	0
BambuTx1022	ENSG00000286515	Brain - Cerebellar Hemisphere	0
BambuTx1022	ENSG00000286515	Brain - Frontal Cortex (BA9)	1
BambuTx1022	ENSG00000286515	Brain - Putamen (basal ganglia)	0
BambuTx1022	ENSG00000286515	Cells - Cultured fibroblasts	0
BambuTx1022	ENSG00000286515	Heart - Atrial Appendage	0
BambuTx1022	ENSG00000286515	Heart - Left Ventricle	0
BambuTx1022	ENSG00000286515	Liver	0
BambuTx1022	ENSG00000286515	Lung	0
BambuTx1022	ENSG00000286515	Muscle - Skeletal	0
BambuTx1023	BambuGene155318	Brain - Cerebellar Hemisphere	0
BambuTx1023	BambuGene155318	Brain - Frontal Cortex (BA9)	0
BambuTx1023	BambuGene155318	Brain - Putamen (basal ganglia)	0
BambuTx1023	BambuGene155318	Cells - Cultured fibroblasts	0
BambuTx1023	BambuGene155318	Heart - Atrial Appendage	0
BambuTx1023	BambuGene155318	Heart - Left Ventricle	0
BambuTx1023	BambuGene155318	Liver	0
BambuTx1023	BambuGene155318	Lung	0
BambuTx1023	BambuGene155318	Muscle - Skeletal	0
BambuTx1024	BambuGene144940	Brain - Cerebellar Hemisphere	0
BambuTx1024	BambuGene144940	Brain - Frontal Cortex (BA9)	0
BambuTx1024	BambuGene144940	Brain - Putamen (basal ganglia)	0
BambuTx1024	BambuGene144940	Cells - Cultured fibroblasts	0
BambuTx1024	BambuGene144940	Heart - Atrial Appendage	0
BambuTx1024	BambuGene144940	Heart - Left Ventricle	0
BambuTx1024	BambuGene144940	Liver	0
BambuTx1024	BambuGene144940	Lung	0
BambuTx1024	BambuGene144940	Muscle - Skeletal	0
BambuTx1025	BambuGene144943	Brain - Cerebellar Hemisphere	0
BambuTx1025	BambuGene144943	Brain - Frontal Cortex (BA9)	0
BambuTx1025	BambuGene144943	Brain - Putamen (basal ganglia)	0
BambuTx1025	BambuGene144943	Cells - Cultured fibroblasts	0
BambuTx1025	BambuGene144943	Heart - Atrial Appendage	0
BambuTx1025	BambuGene144943	Heart - Left Ventricle	0
BambuTx1025	BambuGene144943	Liver	0
BambuTx1025	BambuGene144943	Lung	0
BambuTx1025	BambuGene144943	Muscle - Skeletal	0
BambuTx1026	ENSG00000214100	Brain - Cerebellar Hemisphere	3
BambuTx1026	ENSG00000214100	Brain - Frontal Cortex (BA9)	6
BambuTx1026	ENSG00000214100	Brain - Putamen (basal ganglia)	9
BambuTx1026	ENSG00000214100	Cells - Cultured fibroblasts	76
BambuTx1026	ENSG00000214100	Heart - Atrial Appendage	6
BambuTx1026	ENSG00000214100	Heart - Left Ventricle	4
BambuTx1026	ENSG00000214100	Liver	0
BambuTx1026	ENSG00000214100	Lung	2
BambuTx1026	ENSG00000214100	Muscle - Skeletal	4
BambuTx1027	ENSG00000152086	Brain - Cerebellar Hemisphere	0
BambuTx1027	ENSG00000152086	Brain - Frontal Cortex (BA9)	0
BambuTx1027	ENSG00000152086	Brain - Putamen (basal ganglia)	0
BambuTx1027	ENSG00000152086	Cells - Cultured fibroblasts	0
BambuTx1027	ENSG00000152086	Heart - Atrial Appendage	0
BambuTx1027	ENSG00000152086	Heart - Left Ventricle	0
BambuTx1027	ENSG00000152086	Liver	0
BambuTx1027	ENSG00000152086	Lung	0
BambuTx1027	ENSG00000152086	Muscle - Skeletal	0
BambuTx1028	BambuGene144978	Brain - Cerebellar Hemisphere	103
BambuTx1028	BambuGene144978	Brain - Frontal Cortex (BA9)	45
BambuTx1028	BambuGene144978	Brain - Putamen (basal ganglia)	5
BambuTx1028	BambuGene144978	Cells - Cultured fibroblasts	0
BambuTx1028	BambuGene144978	Heart - Atrial Appendage	0
BambuTx1028	BambuGene144978	Heart - Left Ventricle	0
BambuTx1028	BambuGene144978	Liver	0
BambuTx1028	BambuGene144978	Lung	0
BambuTx1028	BambuGene144978	Muscle - Skeletal	0
BambuTx1029	ENSG00000173272	Brain - Cerebellar Hemisphere	38
BambuTx1029	ENSG00000173272	Brain - Frontal Cortex (BA9)	9
BambuTx1029	ENSG00000173272	Brain - Putamen (basal ganglia)	11
BambuTx1029	ENSG00000173272	Cells - Cultured fibroblasts	32
BambuTx1029	ENSG00000173272	Heart - Atrial Appendage	31
BambuTx1029	ENSG00000173272	Heart - Left Ventricle	11
BambuTx1029	ENSG00000173272	Liver	12
BambuTx1029	ENSG00000173272	Lung	11
BambuTx1029	ENSG00000173272	Muscle - Skeletal	20
BambuTx103	ENSG00000228126	Brain - Cerebellar Hemisphere	13
BambuTx103	ENSG00000228126	Brain - Frontal Cortex (BA9)	6
BambuTx103	ENSG00000228126	Brain - Putamen (basal ganglia)	1
BambuTx103	ENSG00000228126	Cells - Cultured fibroblasts	8
BambuTx103	ENSG00000228126	Heart - Atrial Appendage	1
BambuTx103	ENSG00000228126	Heart - Left Ventricle	1
BambuTx103	ENSG00000228126	Liver	2
BambuTx103	ENSG00000228126	Lung	1
BambuTx103	ENSG00000228126	Muscle - Skeletal	9
BambuTx1030	BambuGene155595	Brain - Cerebellar Hemisphere	0
BambuTx1030	BambuGene155595	Brain - Frontal Cortex (BA9)	0
BambuTx1030	BambuGene155595	Brain - Putamen (basal ganglia)	0
BambuTx1030	BambuGene155595	Cells - Cultured fibroblasts	0
BambuTx1030	BambuGene155595	Heart - Atrial Appendage	0
BambuTx1030	BambuGene155595	Heart - Left Ventricle	0
BambuTx1030	BambuGene155595	Liver	0
BambuTx1030	BambuGene155595	Lung	0
BambuTx1030	BambuGene155595	Muscle - Skeletal	0
BambuTx1031	BambuGene145154	Brain - Cerebellar Hemisphere	0
BambuTx1031	BambuGene145154	Brain - Frontal Cortex (BA9)	0
BambuTx1031	BambuGene145154	Brain - Putamen (basal ganglia)	0
BambuTx1031	BambuGene145154	Cells - Cultured fibroblasts	0
BambuTx1031	BambuGene145154	Heart - Atrial Appendage	0
BambuTx1031	BambuGene145154	Heart - Left Ventricle	0
BambuTx1031	BambuGene145154	Liver	0
BambuTx1031	BambuGene145154	Lung	0
BambuTx1031	BambuGene145154	Muscle - Skeletal	0
BambuTx1032	BambuGene155644	Brain - Cerebellar Hemisphere	0
BambuTx1032	BambuGene155644	Brain - Frontal Cortex (BA9)	0
BambuTx1032	BambuGene155644	Brain - Putamen (basal ganglia)	0
BambuTx1032	BambuGene155644	Cells - Cultured fibroblasts	0
BambuTx1032	BambuGene155644	Heart - Atrial Appendage	0
BambuTx1032	BambuGene155644	Heart - Left Ventricle	0
BambuTx1032	BambuGene155644	Liver	0
BambuTx1032	BambuGene155644	Lung	0
BambuTx1032	BambuGene155644	Muscle - Skeletal	0
BambuTx1033	BambuGene155644	Brain - Cerebellar Hemisphere	0
BambuTx1033	BambuGene155644	Brain - Frontal Cortex (BA9)	0
BambuTx1033	BambuGene155644	Brain - Putamen (basal ganglia)	0
BambuTx1033	BambuGene155644	Cells - Cultured fibroblasts	0
BambuTx1033	BambuGene155644	Heart - Atrial Appendage	0
BambuTx1033	BambuGene155644	Heart - Left Ventricle	0
BambuTx1033	BambuGene155644	Liver	0
BambuTx1033	BambuGene155644	Lung	0
BambuTx1033	BambuGene155644	Muscle - Skeletal	0
BambuTx1034	BambuGene155793	Brain - Cerebellar Hemisphere	0
BambuTx1034	BambuGene155793	Brain - Frontal Cortex (BA9)	1
BambuTx1034	BambuGene155793	Brain - Putamen (basal ganglia)	0
BambuTx1034	BambuGene155793	Cells - Cultured fibroblasts	0
BambuTx1034	BambuGene155793	Heart - Atrial Appendage	0
BambuTx1034	BambuGene155793	Heart - Left Ventricle	0
BambuTx1034	BambuGene155793	Liver	0
BambuTx1034	BambuGene155793	Lung	0
BambuTx1034	BambuGene155793	Muscle - Skeletal	0
BambuTx1035	BambuGene155793	Brain - Cerebellar Hemisphere	0
BambuTx1035	BambuGene155793	Brain - Frontal Cortex (BA9)	0
BambuTx1035	BambuGene155793	Brain - Putamen (basal ganglia)	0
BambuTx1035	BambuGene155793	Cells - Cultured fibroblasts	0
BambuTx1035	BambuGene155793	Heart - Atrial Appendage	0
BambuTx1035	BambuGene155793	Heart - Left Ventricle	0
BambuTx1035	BambuGene155793	Liver	0
BambuTx1035	BambuGene155793	Lung	0
BambuTx1035	BambuGene155793	Muscle - Skeletal	0
BambuTx1036	ENSG00000238057	Brain - Cerebellar Hemisphere	11
BambuTx1036	ENSG00000238057	Brain - Frontal Cortex (BA9)	10
BambuTx1036	ENSG00000238057	Brain - Putamen (basal ganglia)	4
BambuTx1036	ENSG00000238057	Cells - Cultured fibroblasts	6
BambuTx1036	ENSG00000238057	Heart - Atrial Appendage	8
BambuTx1036	ENSG00000238057	Heart - Left Ventricle	1
BambuTx1036	ENSG00000238057	Liver	1
BambuTx1036	ENSG00000238057	Lung	8
BambuTx1036	ENSG00000238057	Muscle - Skeletal	2
BambuTx1037	BambuGene156216	Brain - Cerebellar Hemisphere	12
BambuTx1037	BambuGene156216	Brain - Frontal Cortex (BA9)	9.999999999999995
BambuTx1037	BambuGene156216	Brain - Putamen (basal ganglia)	7.615333331607985
BambuTx1037	BambuGene156216	Cells - Cultured fibroblasts	7
BambuTx1037	BambuGene156216	Heart - Atrial Appendage	0
BambuTx1037	BambuGene156216	Heart - Left Ventricle	1
BambuTx1037	BambuGene156216	Liver	0
BambuTx1037	BambuGene156216	Lung	8
BambuTx1037	BambuGene156216	Muscle - Skeletal	0
BambuTx1038	BambuGene145801	Brain - Cerebellar Hemisphere	0
BambuTx1038	BambuGene145801	Brain - Frontal Cortex (BA9)	0
BambuTx1038	BambuGene145801	Brain - Putamen (basal ganglia)	0
BambuTx1038	BambuGene145801	Cells - Cultured fibroblasts	0
BambuTx1038	BambuGene145801	Heart - Atrial Appendage	0
BambuTx1038	BambuGene145801	Heart - Left Ventricle	0
BambuTx1038	BambuGene145801	Liver	0
BambuTx1038	BambuGene145801	Lung	0
BambuTx1038	BambuGene145801	Muscle - Skeletal	0
BambuTx1039	ENSG00000271320	Brain - Cerebellar Hemisphere	8
BambuTx1039	ENSG00000271320	Brain - Frontal Cortex (BA9)	0
BambuTx1039	ENSG00000271320	Brain - Putamen (basal ganglia)	1
BambuTx1039	ENSG00000271320	Cells - Cultured fibroblasts	7
BambuTx1039	ENSG00000271320	Heart - Atrial Appendage	10
BambuTx1039	ENSG00000271320	Heart - Left Ventricle	0
BambuTx1039	ENSG00000271320	Liver	1
BambuTx1039	ENSG00000271320	Lung	0
BambuTx1039	ENSG00000271320	Muscle - Skeletal	1
BambuTx104	ENSG00000178796	Brain - Cerebellar Hemisphere	7
BambuTx104	ENSG00000178796	Brain - Frontal Cortex (BA9)	17
BambuTx104	ENSG00000178796	Brain - Putamen (basal ganglia)	43
BambuTx104	ENSG00000178796	Cells - Cultured fibroblasts	0
BambuTx104	ENSG00000178796	Heart - Atrial Appendage	1
BambuTx104	ENSG00000178796	Heart - Left Ventricle	0
BambuTx104	ENSG00000178796	Liver	0
BambuTx104	ENSG00000178796	Lung	0
BambuTx104	ENSG00000178796	Muscle - Skeletal	0
BambuTx1040	ENSG00000285373	Brain - Cerebellar Hemisphere	14
BambuTx1040	ENSG00000285373	Brain - Frontal Cortex (BA9)	1
BambuTx1040	ENSG00000285373	Brain - Putamen (basal ganglia)	17
BambuTx1040	ENSG00000285373	Cells - Cultured fibroblasts	12
BambuTx1040	ENSG00000285373	Heart - Atrial Appendage	43
BambuTx1040	ENSG00000285373	Heart - Left Ventricle	71
BambuTx1040	ENSG00000285373	Liver	16
BambuTx1040	ENSG00000285373	Lung	61
BambuTx1040	ENSG00000285373	Muscle - Skeletal	477
BambuTx1041	BambuGene156516	Brain - Cerebellar Hemisphere	0
BambuTx1041	BambuGene156516	Brain - Frontal Cortex (BA9)	0
BambuTx1041	BambuGene156516	Brain - Putamen (basal ganglia)	0
BambuTx1041	BambuGene156516	Cells - Cultured fibroblasts	0
BambuTx1041	BambuGene156516	Heart - Atrial Appendage	0
BambuTx1041	BambuGene156516	Heart - Left Ventricle	0
BambuTx1041	BambuGene156516	Liver	0
BambuTx1041	BambuGene156516	Lung	0
BambuTx1041	BambuGene156516	Muscle - Skeletal	0
BambuTx1042	ENSG00000154479	Brain - Cerebellar Hemisphere	1
BambuTx1042	ENSG00000154479	Brain - Frontal Cortex (BA9)	1
BambuTx1042	ENSG00000154479	Brain - Putamen (basal ganglia)	1
BambuTx1042	ENSG00000154479	Cells - Cultured fibroblasts	51
BambuTx1042	ENSG00000154479	Heart - Atrial Appendage	3
BambuTx1042	ENSG00000154479	Heart - Left Ventricle	1
BambuTx1042	ENSG00000154479	Liver	3
BambuTx1042	ENSG00000154479	Lung	10
