gene.37	tx.2	1:3161276-3161937
gene.508	tx.270	21:45347560-45353535
gene.514	tx.282	22:49630519-49631369
gene.554	tx.283	3:2097579-2098656
gene.554	tx.284	3:2097579-2098607
gene.556	tx.285	3:10607035-10609403
gene.560	tx.286	3:18202409-18222869
gene.562	tx.287	3:33275247-33277348
gene.564	tx.288	3:35638680-35639969
gene.540	tx.297	3:115508707-115512072
gene.542	tx.298	3:115960984-115977947
gene.585	tx.307	4:2464525-2468941
gene.575	tx.309	4:10063933-10072992
gene.577	tx.310	4:11408679-11409662
gene.590	tx.311	4:22726388-22726763
gene.592	tx.312	4:36256188-36256609
gene.596	tx.315	4:38814357-38816536
gene.600	tx.316	4:52861132-52862182
gene.607	tx.318	4:77028627-77030936
gene.609	tx.319	4:77154754-77156748
gene.582	tx.321	4:186487860-186491278
gene.620	tx.323	5:24644878-24645514
gene.648	tx.327	5:73246496-73274855
gene.654	tx.330	5:134874831-134875387
gene.635	tx.331	5:157575214-157576610
gene.658	tx.333	5:161808854-161850786
gene.667	tx.341	6:3455990-3469354
gene.672	tx.342	6:13328615-13329857
gene.674	tx.343	6:17332247-17359207
gene.700	tx.344	6:21138324-21140936
gene.705	tx.350	6:31829901-31847710
gene.678	tx.351	6:32894748-32901265
gene.678	tx.352	6:32894749-32901297
gene.685	tx.355	6:89721154-89721816
gene.687	tx.356	6:105180067-105180606
gene.691	tx.357	6:111686302-111687140
gene.715	tx.358	6:122780975-122833390
gene.736	tx.366	7:65110483-65123127
gene.726	tx.370	7:82966037-83134572
gene.748	tx.373	7:128462308-128477262
gene.728	tx.374	7:139035720-139036950
gene.752	tx.377	7:152743662-152759666
gene.756	tx.379	8:42179982-42193637
gene.774	tx.380	8:53865032-53879904
gene.783	tx.384	8:134789137-134799279
gene.768	tx.385	8:139702489-139707127
gene.787	tx.393	9:34380906-34393456
gene.789	tx.397	9:41358883-41505187
gene.792	tx.398	9:66270008-66285315
gene.805	tx.399	9:68956994-68975855
gene.807	tx.400	9:72523418-72527668
gene.807	tx.401	9:72523424-72527718
gene.816	tx.405	9:123996107-123999258
gene.800	tx.409	9:136118996-136121839
gene.800	tx.410	9:136119021-136121839
gene.830	tx.414	X:2566027-2609188
gene.832	tx.416	X:38560811-38562195
gene.835	tx.420	X:47086449-47129753
gene.839	tx.421	X:47496936-47513802
gene.823	tx.422	X:71728965-71752562
gene.841	tx.423	X:71728965-71752562
gene.828	tx.427	X:120436494-120437751
gene.850	tx.430	GL000218.1:88575-97452
